"001-0436-9","RING ETC14_[-9]","(50/BOX)",""
"001-0436A9","RING ETC14_[-9]","(6/BOX)",""
"001-0436D8","RING ETC14_[-8]","(6/BOX)",""
"001-0436D9","RING ETC14_[-9]","(50/BOX)",""
"001-0436RAW","RING ETC14_","CAST ALU LM6,FHPRE",""
"001-0436U9","RING ETC14_[-9]","(6/BOX)",""
"001-0440","FL10[M]-REFLECTOR","",""
"001-0469","FL10-TS NARROW REFLECTOR","ALU REFL.SHEET,1MM",""
"001-0470","FL10-TS MEDIUM REFLECTOR","ALU REFL SHEET,1MM",""
"001-0471","ES-FLC131[DW1]","UNCOATED,(20/BOX)",""
"001-0472","ET-FLC131[DW1]","UNCOATED,(20/BOX)",""
"001-0473","ES-FLC141[DW1]","UNCOATED,(20/BOX)",""
"001-0474","ET-FLC141[DW1]","UNCOATED,(20/BOX)",""
"001-0492","FL10[EE]-REFLECTOR","-",""
"001-0506","ETC13_[EE]REFLECTOR","ALANOD MIR04",""
"001-0510","RING ETC130","CAST ALU LM6,FINISHED",""
"001-0510-0","RING ETC130","CAST ALU LM6,MACHINED",""
"001-0510-2","RING ETC130","CAST ALU LM6,COATED",""
"001-0510-9","RING ETC130[-9]","(100/BOX)",""
"001-0510A9","RING ETC130[-9]","(10/BOX)",""
"001-0510D8","RING ETC130[-8]","(10/BOX)",""
"001-0510D9","RING ETC130[-9]","(100/BOX)(001-0510)",""
"001-0510RAW","RING ETC130","CAST ALU LM6,RAW",""
"001-0518","ETC12_[EE] REFLECTOR","",""
"001-0519","ETC12_ DT13-18 REFLECTOR","",""
"001-0519-8","ETC12_ DT13-18 REFL.[-8]","( /BOX)",""
"001-0520","ETC12_[M] REFLECTOR","",""
"001-0521","DOC150-DT[ ]REFLECTOR","SANDBLASTED",""
"001-0522","DOC150[M] REFLECTOR","ALANOD 1550/G2",""
"001-0523","DOC150-[EE]REFLECTOR","LUXAR L61V",""
"001-0569","KL PFL24_ PFL26_ SPACER","OBSOLETED",""
"001-0570","SLEEVE OD30*ID9*L45","OBSOLETED",""
"001-0571","SLEEVE OD30*ID9*L91","OBSOLETED",""
"001-0574","KL PFL24_ FLANGE PLATE","ALMG3 F22",""
"001-0575","KL PFL26_ FLANGE PLATE","ALMG3 F22",""
"001-0587","REFLECTOR ETC13_ MEDIUM","ALANOD MIR07",""
"001-0591","FLC25_ BODY","CAST ALU LM6, RAW",""
"001-0591-1","FLC25_ BODY","CAST ALU LM6, FINISHED",""
"001-0591D8","FLC25_ BODY[-8]","(42/PALLET)",""
"001-0592","FLC25_ FRAME","CAST ALU LM6,RAW",""
"001-0592-1","FLC25_ FRAME","CAST ALU LM6,FINISHED",""
"001-0592D8","FLC25_ FRAME[-8]","(10/150/PALLET)",""
"001-0593","FLC25_ COVER","CAST ALU LM6, RAW",""
"001-0593-1","FLC25_ COVER","CAST ALU LM6, FINISHED",""
"001-0593D8","FLC25_ COVER[-8]","(7/140/PALLET)",""
"001-0621","UDN33_ FRAME","CAST ALU  LM6",""
"001-0621-0","UDN33_ FRAME","CAST ALU LM6,MACHINED",""
"001-0621-1","UDN33_ FRAME","CAST ALU  LM6,FINISHED",""
"001-0621D8","UDN33_ FRAME[-8]","(20/BOX)",""
"001-0622","UDN33_ BACK WALL","CAST ALU  LM6",""
"001-0622-0","UDN33_ BACK WALL","CAST ALU LM6,MACHINED",""
"001-0622-1","UDN33_ BACK WALL","CAST ALU  LM6,FINISHED",""
"001-0622D8","UDN33_ BACK WALL [-8]","(10/BOX)",""
"001-0627","UDN32_BACK COVER","CAST ALU LM6",""
"001-0627-1","UDN32_BACK COVER","CAST ALU LM6,FINISHED",""
"001-0627D8","UDN32_BACK COVER[-8]","(15/BOX)",""
"001-0632","ETC14_-TS[M] REFLECTOR","SURFACE SAME AS ACL S2",""
"001-0690","PFL23_-[S]-REFLECTOR","ALU SHEET,1MM.ANODIZED",""
"001-0690RAW","PFL23_-[S]-REFLECTOR","ALU SHEET,1MM.",""
"001-0737","ETC11_[M]REFLECTOR","D=54",""
"001-0738","ETC11_[EE]REFLECTOR","D=54",""
"001-0750","FLC21_[M] REFLECTOR","D=51",""
"001-0751","FLC21_[EE]REFLECTOR","D=51",""
"001-0820","ADAPTOR FOR OPTILED LED","ALMG 4.5MN",""
"001-0901","FLC121[M] REFLECTOR","ACL S2",""
"001-0901-8","FLC121[M] REFLECTOR","(100/BOX)",""
"001-0995","EFL54_BODY","CAST ALU LM6,RAW",""
"001-0995-1","EFL54_BODY","CAST ALU LM6",""
"001-0995D8","EFL54_BODY[-8]","(32/PALLET)(001-0995)",""
"001-1009","EFL540 REFLECTOR[S60]","ALU REFL",""
"001-1024","PFL240-LD BODY","CAST ALU LM6",""
"001-1024D8","PFL240-LD BODY[-8]","(84/PALLET)",""
"001-1024RAW","PFL240-LD BODY","CAST ALU LM6",""
"001-1030","VFL540-LD BODY","CAST ALU LM6.",""
"001-1030-1","VFL540-LD BODY","CAST ALU LM6.CAST",""
"001-1030D8","VFL540-LED BODY [-8]","(80/PALLET)",""
"001-1046","EFL540_S70 REFLECTOR","ALU REFL",""
"001-1078","FLC131-LD FRAMING SNOOT","(20/BOX)",""
"001-1079","FLC121-LD FRAMING SNOOT","(10/BOX)",""
"001-1080","FLC141-LD FRAMING SNOOT","(10/BOX)",""
"001-1086","VFL530-LD BODY","CAST ALU LM6",""
"001-1086-1","VFL530-LD BODY","",""
"001-1086D8","VFL530-LD BODY[-8]","(90/PALLET)",""
"001-1110","VFL540-SE-LED BODY","CAST ALU LM6,RAW",""
"001-1110-1","VFL540-SE-LED BODY","CAST ALU LM6,",""
"001-1110D8","VFL540-SE-LED BODY[-8]","(60/PALLET)",""
"001-1112","RFL54_SE LED BODY.","CAST ALU LM6.",""
"001-1112-1","RFL54_SE LED BODY.","CAST ALU LM6,CAST",""
"001-1112D8","RFL54_SE LED BODY.","(60/PALLET)",""
"001-1163","IW-FLC12_-LED","HONEYCOMB FILTER",""
"001-1164","IW-ETC12_-LED","HONEYCOMB FILTER",""
"001-1166","IW-FLC131-LED","HONEYCOMB FILTER",""
"001-1167","IW-FLC141-LED","HONEYCOMB FILTER",""
"001-1169","IW-DOC24_-LED","HONEYCOMB FILTER",""
"001-1190","VLR PROFILE, L=6M.","ALU6063 GP-T5,1.44KG/M",""
"001-1191","VLR LED HOLDER, L=6M.","ALU6063 GP-T5,0.6KG/M",""
"001-1199","ETC320 LED SADDLE A","CAST ALU LM6,FINISHED",""
"001-1199-0","ETC320 LED SADDLE A","CAST ALU LM6,MACHINED",""
"001-1199D8","ETC320 LED SADDLE A","(50/BOX)(001-1199)",""
"001-1200","ETC320 LED SADDLE B","CAST ALU LM6,FINISHED",""
"001-1200-0","ETC320 LED SADDLE B","CAST ALU LM6,MACHINED",""
"001-1200D8","ETC320 LED SADDLE B","(50/BOX)(001-1200)",""
"001-1201","ETC320 LED HOLDER","CAST ALU LM6,FINISHED",""
"001-1201-0","ETC320 LED HOLDER","CAST ALU LM6,MACHINED",""
"001-1201D8","ETC320 LED HOLDER","(50/BOX)(001-1201)",""
"001-1211","IW-ETC12_-GB-LED","HONEYCOMB FILTER",""
"001-1276","IW HONEYCOMB MESH 34*300MM","PU COATING ALU, BLACK, FRAMELESS",""
"001-1279","IW HONEYCOMB MESH 34*600MM","PU COATING ALU, BLACK, FRAMELESS",""
"001-1282","IW HONEYCOMB MESH 34*900MM","PU COATING ALU, BLACK, FRAMELESS",""
"001-1285","IW HONEYCOMB MESH 34*1200MM","PU COATING ALU, BLACK, FRAMELESS",""
"001-1288","IW HONEYCOMB MESH 34*1500MM","PU COATING ALU, BLACK, FRAMELESS",""
"001-1313","ETV100 PROFILE, L=6M","ALU6063 GP-T5,2.51KG/M",""
"001-1316","BEV100-II PROFILE, L=6M","ALU 6063 GP-T5,3.36 kg/m , ANODIZED 0.015MM",""
"001-1326","PROFILE RAIL66 L=3500 raw","ALU6063 GP-T5",""
"001-1326D8","PROFILE RAIL66 L=3500 raw","ALU6063 GP-T5",""
"001-1328","ETV_COVER","ALU PART",""
"001-1328-1","ETV_COVER","ALU PART,ANODIZED",""
"001-1336","ZFY23_ LED UPPER REFLECTOR","",""
"001-1339","FLC240 BODY","CAST ALU LM6,RAW",""
"001-1344","IW HONEYCOMB MESH 30*598MM","PU COATING ALU, BLACK, FRAMELESS",""
"001-1345","IW HONEYCOMB MESH 30*898MM","PU COATING ALU, BLACK, FRAMELESS",""
"001-1346","IW HONEYCOMB MESH 30*1198MM","PU COATING ALU, BLACK, FRAMELESS",""
"001-1347","ZFY23_ CAST BASE","CAST ALU LM6",""
"001-1347D8","ZFY23_ CAST BASE[-8]","(  /BOX)",""
"001-1348","ZFY23_ POT","CAST ALU LM6",""
"001-1348D8","ZFY23_ POT[-8]","(  /PALLET)",""
"001-1349","ZFY23_ WELD-IN RING","CAST ALU LM6",""
"001-1349-0","ZFY23_ WELD-IN RING","CAST ALU LM6,MACHINED",""
"001-1349-1","ZFY23_ WELD-IN RING","CAST ALU LM6,FINISHED",""
"001-1349D8","ZFY23_ WELD-IN RING[-8]","(5/BOX)",""
"001-1350","ZFY23_TOP","CAST ALU LM6",""
"001-1350D8","ZFY23_TOP[-8]","(  /PALLET)",""
"001-1351","ZFY23_ POT COVER","CAST ALU LM6",""
"001-1351D8","ZFY23_ POT COVER[-8]","(  /BOX)",""
"001-1352","ZFY23_ ADAPTOR RING","CAST ALU LM6",""
"001-1352-0","ZFY23_ ADAPTOR RING","CAST ALU LM6,MACHINED",""
"001-1352-1","ZFY23_ ADAPTOR RING","CAST ALU LM6,MACHINED",""
"001-1352D8","ZFY23_ ADAPTOR RING[-8]","(15/BOX)",""
"001-1353","ZFY23_ LOWER REFLECTOR","",""
"001-1354","ZFY23_ POT COVER","CAST ALU LM6, W/O ""MADE IN GERMANY""",""
"001-1354-0","ZFY23_ POT COVER","CAST ALU LM6,W/O ""MADE IN GERMANY""",""
"001-1354-1","ZFY23_ POT COVER","CAST ALU LM6, W/O""MADE IN GERMANY""",""
"001-1354-2","ZFY23_ POT COVER","CAST ALU LM6, W/O ""MADE IN GERMANY""",""
"001-1354JL1-0","ZFY23_ POT COVER[JL1]","CAST ALU LM6,W/O ""MADE IN GERMANY""",""
"001-1354JL1-1","ZFY23_ POT COVER[JL1]","CAST ALU LM6,FINISHED,W/O ""MADE IN GERMANY""",""
"001-1354JL1-2","ZFY23_ POT COVER[JL1]","CAST ALU LM6,COATED,W/O ""MADE IN GERMANY""",""
"001-1358","IW HONEYCOMB LOUVER","FOR FLC240-LED",""
"001-1359","IW HONEYCOMB LOUVER","FOR FLC260-LED",""
"001-1376","ZFY23_ LED UPPER REFLECTOR","E6 C35",""
"001-1390","FLC260 BODY","CAST ALU LM6,RAW",""
"001-1404","BEV100-I PROFILE,L=6M","ALU 6063 GP-T5,4.58 kg/m, ANODIZED 0.025MM",""
"001-1418","FL2_0 PROTRACTOR SCALE","3M 467MP,0.5MM ALU,ADHES",""
"001-1418-1","FL2_0 PROTRACTOR SCALE","3M 467MP,0.5MM ALU,ADHES",""
"001-2566","AM-Z 60133[O.X] WELDED","-",""
"001-8015","CABLE ADAPTOR M20","DUPONT ZYTEL 70G33L,BLACK",""
"001-8016","PG13.5 PACKING RING","SILICONE 30SHORE[+-5]",""
"001-8016A8","PG13.5 PACKING RING","(1000/BOX)",""
"002+2922","GOBO Reflected Water 2","",""
"002-0138","FLATHEAD SCREW M18,HOLLOW","DIN985",""
"002-0218","1/4 LOCKING DEVICE PIN","",""
"002-0219","1/4 LOCKING DEVICE BOSS","",""
"002-0535","FLA76 KNURLEDSCREW M16*20","STAINLESS STEEL",""
"002-0542","SNAP-ON CAP NUT DIA4","",""
"002-0554","SS SUSPENSION ASSY.","D=4,L=500",""
"002-0572","ESV4 108.120 PLATE","BL STEEL SHEET 6MM.",""
"002-0573","ESV4 108.150 PLATE","BL STEEL SHEET 6MM.",""
"002-0579","ESV4 108.240 PLATE","BL STEEL SHEET 6MM.",""
"002-0802","ETC14_COVER","STAINL.STEEL 6MM,SS304",""
"002-0802-0","ETC14_COVER","STAINL.STEEL 6MM,SS304",""
"002-0802-1","ETC14_COVER","STAINL.STEEL 6MM,POLISH",""
"002-0802-316","ETC14_COVER","STAINL.STEEL 6MM,SS316",""
"002-0802-316-0","ETC14_COVER","STAINL.STEEL 6MM,SS316",""
"002-0802-316-1","ETC14_COVER","STAINL.STEEL 6MM,POLISH",""
"002-0802-316-8","ETC14_COVER[-8]","(10/BOX)",""
"002-0802-316A8","ETC14_COVER[-8]","(20/BOX)",""
"002-0802A8","ETC14_COVER[-8]","(20/BOX)",""
"002-0802D8","ETC14_COVER[-8]","OBSOLETED",""
"002-0802U8","ETC14_COVER[-8]","(5/BOX)",""
"002-0803","ETC13_ COVER","STAINL.STEEL 5MM,SS304",""
"002-0803-0","ETC13_ COVER","STAINL.STEEL 5MM,SS304",""
"002-0803-1","ETC13_ COVER","STAINL.STEEL 5MM,POLISH",""
"002-0803-316","ETC13_ COVER","STAINL.STEEL 5MM,SS316",""
"002-0803-316-0","ETC13_ COVER","STAINL.STEEL 5MM,SS316",""
"002-0803-316-1","ETC13_ COVER","STAINL.STEEL 5MM,POLISH",""
"002-0803-316-8","ETC13_ COVER[-8]","(10/BOX)",""
"002-0803-316A8","ETC13_ COVER[-8]","(10/BOX)",""
"002-0803A8","ETC13_ COVER[-8]","(20/BOX)",""
"002-0803D8","ETC13_ COVER[-8]","OBSOLETED",""
"002-0803U8","ETC13_ COVER[-8]","(5/BOX)",""
"002-0804","ULC210 FRAME","STAINLESS STEEL 1.4581",""
"002-0804D8","ULC210 FRAME[-8]","(25/BOX)",""
"002-0804RAW","ULC210 FRAME","STAINLESS STEEL 1.4581",""
"002-0806","ETC10_BODY","OBSOLETED",""
"002-0806D8","ETC11_BODY[-8]","( /BOX)",""
"002-0949","ETC12_ BODY","DEEPDRAWN STAINL.ST.1.25",""
"002-0950","ETC12_ COVER","STAINL.STEEL 5MM,SS304",""
"002-0950-0","ETC12_ COVER","STAINL.STEEL 5MM,SS304",""
"002-0950-1","ETC12_ COVER","STAINL.STEEL 5MM,POLISH.",""
"002-0950-316","ETC12_ COVER","STAINL.STEEL 5MM,SS316",""
"002-0950-316-0","ETC12_ COVER","STAINL.STEEL 5MM,SS316",""
"002-0950-316-1","ETC12_ COVER","STAINL.STEEL 5MM,POLISH",""
"002-0950-316-8","ETC12_ COVER[-8]","(25/BOX)",""
"002-0950-8","ETC12_ COVER[-8]","(25/BOX)",""
"002-0961","PFL24_ COUNTER LOCK","SS304,SHEET 2MM",""
"002-0961-1","PFL24_ COUNTER LOCK","SS304,SHEET 2MM",""
"002-1007","CAP SCREW M5*25 STAINL.","HEX.SOCKET,REDUCED SHANK",""
"002-1013","THREADED PIPE M20*50","STAINL.SS304,PITCH 2.5MM",""
"002-1014","SCREW(JF)M4X35,STAINL","CHANGED TO 002-1105",""
"002-1070","ESV4 108.200 PLATE","BL STEEL SHEET 6MM.",""
"002-1105","SCREW (JF)M4*35,STAINL","REDUCED SHANK,DIN 7991",""
"002-1105RAW","SCREW (JF)M4*35,STAINL","REDUCED SHANK,DIN 7991",""
"002-1154","CAP SCREW M5*40 STAINL.","HEX.SOCKET,REDUCED SHANK",""
"002-1239","IL-ETC140","LASER CUT",""
"002-1273","TRIANGLE SCREW M8*16","DIN22424",""
"002-1277","IL-ETC130","LASER CUT",""
"002-1301","KL PFL24_ PFL26_ WASHER","OBSOLETED",""
"002-1328","FLC21 KNURLED SCREW M5X5","STAINLESS STEEL",""
"002-1434","RTC12_ BODY","DEEPDRAWN STAINL.ST.1.25",""
"002-1434-1","RTC12_ BODY","DEEPD.STAINL.ST.1.25FINIS",""
"002-1434-2","RTC12_ BODY","SS304,T=1.25MM,BLACK COAT",""
"002-1435","RTC13_ BODY","DEEPDRAWN STAINL.ST.1.5MM",""
"002-1435-2","RTC13_ BODY","STAINL.ST.1.5MM,COATED",""
"002-1436","RTC14_ BODY","DEEP DRAWN STAINL.ST.2MM",""
"002-1436-2","RTC14_ BODY","STAINL.ST.2MM,COATED",""
"002-1437","SCREW (JF)M4*20,STAINL.","REDUCED SHANK, DIN 7991",""
"002-1448","ETC11_BODY","STAINLESS STEEL 1.4581",""
"002-1448-0","ETC11_BODY","MACHINED",""
"002-1448-1","ETC11_BODY","FINISHED",""
"002-1448D8","ETC11_BODY[-8]","(25/BOX)",""
"002-1448RAW","ETC11_BODY","STAINLESS STEEL 1.4581",""
"002-1571","QRO30_ FRAME STAINLESS","SS304",""
"002-1572","STG25_ FRAME STAINLESS","SS304",""
"002-1572-8","STG25_ FRAME STAINLESS","[-8]( /BOX)",""
"002-1573","STO25_ FRAME STAINLESS","SS304",""
"002-1573-8","STO25_ FRAME STAINLESS","[-8]( /BOX)",""
"002-1596","SPRING 7.0*0.8*23","STAINLESS STEEL",""
"002-1601","ULC21_STIRRUP","STAINLESS STEEL",""
"002-1601-1","ULC21_STIRRUP","STAINLESS STEEL",""
"002-1716","ULC23_ FRAME","STAINLESS STEEL 1.4581",""
"002-1716-0","ULC23_ FRAME","STAINLESS STEEL 1.4581",""
"002-1716-1","ULC23_ FRAME","STAINLESS STEEL 1.4581",""
"002-1716D8","ULC23_ FRAME[-8]","(20/BOX)(002-1716)",""
"002-1716RAW","ULC23_ FRAME","STAINLESS STEEL 1.4581",""
"002-1717","ULC23_ BODY","STAINLESS STEEL 1.4581",""
"002-1717-0","ULC23_ BODY","STAINLESS STEEL 1.4581",""
"002-1717-1","ULC23_ BODY","STAINLESS STEEL 1.4581",""
"002-1717D8","ULC23_ BODY[-8]","(2/BOX)(002-1717)",""
"002-1717RAW","ULC23_ BODY","STAINLESS STEEL 1.4581",""
"002-1748","STO20_ FRAME STAINLESS","SS304",""
"002-1748-1","STO20_ FRAME STAINLESS","SS304, C/W WE-EF LOGO",""
"002-1748-8","STO20_ FRAME STAINLESS[-8]","( /BOX)",""
"002-1749","STG20_ FRAME STAINLESS","SS304",""
"002-1781","IL-PFL24_[S]REARW.LOUVER","SS304,0.8MM",""
"002-1781-1","IL-PFL24_[S]REARW.LOUVER","SS304,0.8MM,BENT",""
"002-1781-2","IL-PFL24_[S]REARW.LOUVER","SS304,0.8MM,H.T COATED",""
"002-1782","IL-PFL26_[S]REARW.LOUVER","SS304,0.8MM",""
"002-1782-1","IL-PFL26_[S]REARW.LOUVER","SS304,0.8MM,BENT",""
"002-1782-2","IL-PFL26_[S]REARW.LOUVER","SS304,0.8MM,H.T COATED",""
"002-1827","IL-PFL26_[A]SW-CUT OFF","SS304,0.8MM,LASER CUT",""
"002-1827-1","IL-PFL26_[A]SW-CUT OFF","SS304,0.8MM,BENT",""
"002-1827-2","IL-PFL26_[A]SW-CUT OFF","SS304,0.8MM,H.T COATED",""
"002-1838","CONSTITUTION BOLT M8*0.5","STAINLESS STEEL",""
"002-1853","KNURLED NUT M8*0.5","STAINLESS STEEL",""
"002-1854","FLC210 REFLECTOR HOLDER","STAINLESS SHEET 0.4MM",""
"002-1890","CABLE GLAND SCREW M16*1.5","SS316",""
"002-1891","CABLE GLAND NUT M16*1.5","SS316",""
"002-1911","SVO25_ FRAME STAINLESS","SS304",""
"002-1911-8","SVO25_ FRAME STAINLESS","[-8]( /BOX)",""
"002-2315","ZA63_LED-FT SPRING RING","1.4310 SPRING WIRE DIA1.5",""
"002-2421","LTM44_ LED CABLE COVER","",""
"002-2421-2","LTM44_ LED CABLE COVER","COATED",""
"002-2691","BOLT M8*16,STAINL.","HEXAGON HEAD,DIN933,HOLLOW SCREW",""
"002-2695","FLC240 STIRRUP","BL. STEEL LASER, T=5mm, RAW",""
"002-2695-1","FLC240 STIRRUP","BL. STEEL LASER, T=5mm, HOT DIP GALV.",""
"002-2695-2","FLC240 STIRRUP","BL. STEEL LASER, T=5mm, HOT DIP GALV, COATED",""
"002-2703","ZFY200_ CABLE SLEEVE","STAINLESS STEEL 304",""
"002-2704","ZFY200_ SLEEVE","STAINLESS STEEL 304",""
"002-2719","CAP SCREW M6*40 STAINL.","REDUCED SHANK, TORX, ISO 14579,T30, PCS",""
"002-2720","CAP SCREW M6*18 STAINL.","REDUCED SHANK, TORX, ISO 14579,T30, PCS",""
"002-2722","SCREW(JF)M4X45, STAINL.","PHI. FLAT HEAD, TORX, ISO 14579,T20",""
"002-2732","SET SCREW M8*10,STAINL.","TORX, DIN34827, T25",""
"002-2764","FLC260 STIRRUP","BL. STEEL LASER, T=5mm, RAW",""
"002-2764-1","FLC260 STIRRUP","BL. STEEL LASER, T=5mm, HOT DIP GALV",""
"002-2764-2","FLC260 STIRRUP","BL. STEEL LASER, T=5mm, HOT DIP GALV, COATED",""
"002-2774","CAP SCREW M16*19 STAINL.","TORX, ISO 14579,T70",""
"003-0047","ROUNDWIRE SNAP RING DIA42","SPRING STEEL DIN 17223",""
"003-0103","GRIP WASHER OD43.5*ID16.5*1","RBK 5832",""
"003-0384","ETC11_SPREADER LENS","",""
"003-2055","O-RING (ID=152*4)","SILIKON 60 SHORE",""
"003-2065","PFL RETAINING RING","",""
"003-2066","O-RING(D=110*4)","SILICONE,60SHORE,RED",""
"003-2205","ABDECKUNG LSM309","D=160*500*3 POLYCARBONAT",""
"003-2288","SILICONE FL7 PROFILE","RAL7024,50 SHORE",""
"003-2324","PFL26_GASKET","SILICONE 40SHORE(+-5)",""
"003-2325","ETC11_GASKET","-",""
"003-2329","POST TOP GASKET D=76","",""
"003-2349","EPDM GASKET D=7.5","SPONGE,BLACK",""
"003-2368","BET13-II-270/375","(150/PALLET)",""
"003-2369","BET14-II-325/430","(100/PALLET)",""
"003-2382","TRANSFORMER CASING UNO","POLYAMID ABS",""
"003-2384","ETC11_SPREADER LENS","-",""
"003-2387","AFP50-WINDOW CLEAR","PMMA",""
"003-2415","LSA05_ TOP LENS","",""
"003-2416","O-RING (ID=68*2)","",""
"003-2420","PFL24_ GASKET","SILICONE 40SHORE(+-5)",""
"003-2432","ZPY15 GASKET","SILICONE 40SHORE",""
"003-2441","EFC12_GASKET","SILICONE 45SHORE+-5",""
"003-2456","ETC11_CIRCUIT BOARD HOLD","-",""
"003-2490","ETC140 LENS GASKET","",""
"003-2503","BET10_II_100_110","PA 6.6 GF 30%",""
"003-2504","ETC11_MOUNTING RING","-",""
"003-2505","ETC11_INGROUND MOUNT.RING","-",""
"003-2506","AFP50-WINDOW BLUE","PMMA",""
"003-2530","BET13-II-180/230","MDPE BLACK",""
"003-2530A8","BET13-II-180/230 BLOCKOUT","(10/BOX)(003-2530)",""
"003-2530D8","BET13-II-180/230 BLOCKOUT[-8]","(150/PALLET)",""
"003-2532","SILI.GASKET FL42(150W.MAX","",""
"003-2536","BCR11-II BLOCKOUT BODY","PA 6.6 GF 1/30",""
"003-2541","ETC130 LENS GASKET","",""
"003-2547","ETC12 MOUNTING RING","PE, PA66 GF30%",""
"003-2547A8","ETC12 MOUNTING RING(-8]","(54/BOX)",""
"003-2547D8","ETC12 MOUNTING RING","PE(54/BOX)",""
"003-2547U8","ETC12 MOUNTING RING[-8]","( /BOX)",""
"003-2548","BET12-II-190/300","MDPE BLACK",""
"003-2548A8","BET12-II-190/300 BLOCKOUT","MDPE(10/BOX)",""
"003-2548D8","BET12-II-190/300","(200/PALLET)",""
"003-2548U8","BET12-II-190/300[-8]","(10/BOX)",""
"003-2557","BET11_II_100/220","PA 6.6 GF 30%",""
"003-2559","FL42-GASKET","RAL7024 GRAY,40SHORE(+-5)",""
"003-2565","WASHER FOR PIPE","TRANSPARENT,60 SHORE A",""
"003-2582","ETC120_GASKET","SILICONE,45 SHORE(+-5)",""
"003-2583","STN254 LENS","PC",""
"003-2589","FLC25_ LENS GASKET","BLACK, 70SHORE(+-5)",""
"003-2599","STN204 LENS","PC CLEAR",""
"003-2624","RTC119 DIFFUSOR","ACRYLIC",""
"003-2658","FLC25_ LENS GASKET","NATURAL,45 SHORE(+-5)",""
"003-2770","PPK-SUITCATE FLC230","EMPTY,W/O FOAM & STICKER",""
"003-2786","M16*1.5 O-RING","NBR A 70 SHORE",""
"003-2810","PPK-SUITCASE,W/O INNERTRY","W/O STICKER CONTENT",""
"003-2815","OLV340 DG GASKET","SILICONE 45SHORE(+-5)",""
"003-2831","M16*1.5 CABLE GLAND CHUCK","GEISSEL 829.0900.0",""
"003-2832","M16*1.5 PACKING RING","GEISSEL 816.0900.0",""
"003-2833","M16*1.5 PACKING RING","GEISSEL 815.0900.0",""
"003-2881","EFL54_GASKET","",""
"003-2882","LD-S70 3LD","PMMA",""
"003-2884","LD-A60 3LD","",""
